Name,class1,class2,jobtype,location,salary,summary,title,sal,qual,new,skills3,skillspts3,title1,newclass1,label_x,skills,label_y
Progressive,Information & Communication Technology, Help Desk & IT Support,Contract/Temp,Sydney,Competitive,"
The Role - Azure Architect / Big Data Scientist
Location - Adelaide
My client is looking for a Azure Architect / Big Data Scientist to join their Adelaide team on this 3 month initial contract
 
What you can bring

In depth experience with Microsoft Azure PaaS
Strong in IOT and Analytics
Extensive Big Data and complex integration experience
Excellent communication skills
Highly analytical and forward thinking

 
For immediate consideration, please reply with an updated CV or contact George Hirst
To find out more about Progressive Recruitment please visit our website. 
 
Award Winner for:
Best Medium Recruitment Company of the Year by Recruitment International 2018
Training & Development Initiative of the Year by Recruitment International 2018
",Azure Architect / Big Data Scientist Adelaide,,/Role/Azure/Architect/Big/Data/Scientist/Location/Adelaide/Azure/Architect/Big/Data/Scientist/Adelaide/Microsoft/Azure/PaaS/IOT/Analytics/Extensive/Big/Data/George/Hirst/Progressive/Recruitment/Award/Winner/Best/Medium/Recruitment/Company/Year/Recruitment/International/Training/Development/Initiative/Year/Recruitment/International,,SCIENTIST     BIGAZURE    ,0,"['Azure', 'Architect', '/', 'Big', 'Data', 'Scientist', 'Adelaide']",Information Technolog,,Sr Scientist,3.0
Progressive,Information & Communication Technology, Engineering - Software,Contract/Temp,Sydney,competitive,"
The Role - Azure Architect / Big Data Scientist
Location - Adelaide
My client is looking for a Azure Architect / Big Data Scientist to join their Adelaide team on this 3 month initial contract
 
What you can bring

In depth experience with Microsoft Azure PaaS
Strong in IOT and Analytics
Extensive Big Data and complex integration experience
Excellent communication skills
Highly analytical and forward thinking

 
For immediate consideration, please reply with an updated CV or contact George Hirst
To find out more about Progressive Recruitment please visit our website. 
 
Award Winner for:
Best Medium Recruitment Company of the Year by Recruitment International 2018
Training & Development Initiative of the Year by Recruitment International 2018
",Azure Architect / Big Data Scientist  Adelaide,,/Role/Azure/Architect/Big/Data/Scientist/Location/Adelaide/Azure/Architect/Big/Data/Scientist/Adelaide/Microsoft/Azure/PaaS/IOT/Analytics/Extensive/Big/Data/George/Hirst/Progressive/Recruitment/Award/Winner/Best/Medium/Recruitment/Company/Year/Recruitment/International/Training/Development/Initiative/Year/Recruitment/International,,SCIENTIST     BIGAZURE    ,0,"['Azure', 'Architect', '/', 'Big', 'Data', 'Scientist', 'Adelaide']",Information Technolog,,Sr Scientist,3.0
HCM Australia,Information & Communication Technology, Consultants,Full Time,Sydney,$160-170 K Plus Superannuation,"
 
 
Data Scientist | Customer Analytics | Fintech


Opportunity to build out a function not just a Job 
Hands on role | Blend of delivery and stakeholder liason 
Dynamic/Fast growth / Highly succesful Business 


Data Scientist | Customer Analytics  Design and implement new data science capabilities to deliver highly personalised experiences for customers in a multi-channel environment.You will work closely
            with Product, Marketing, Tech & Data Science teams, providing thought leadership to bring the “art and science” together in an operational environment.   Mainly you will be someone that gets a big kick out of leveraging
            AI and Machine learning to drive business success & solve problems and a thirst to do that in a dynamic fast moving environment.  The Job 


Development of supervised and/or unsupervised machine learning algorithms that underpin a recommendation engine spanning inbound and outbound digital channels (including eDM, SMS, Native App, Web, Push).
Embedding the technical processes to iteratively experiment with customer lifecycle journeys and marketing content that maximise customer engagement.
Natural language processing (NLP) to improve the accuracy in categorising bank transactional data.
Supporting the implementation of a recommendation engine by working closely with Product, Marketing & Tech teams to develop a pipeline that utilises real-time data to inform real-time decisions.
Managing and mentoring other data scientists, with a focus to grow the customer data science capability.
Working with the Head of Analytics & Data Science in the design of customer strategies, frameworks and architectures to personalise communications across the customer lifecycle.
Furthermore, this is a unique opportunity for a hands-on Data Scientist who is not only looking to utilise their analytical skills, but also drive the end-to-end implementation of machine learning algorithms in an operational environment,
                  ingesting data and scoring models in an open-source tech stack. 

 Background and Skills Sought   Essential  



Tertiary qualifications in a quantitative discipline (E.g. Mathematics, Statistics, Computer Science, Actuarial Studies, Economics).
8+ years commercial analytics experience from a retail/consumer product environment with a strong presence in B2C digital channels.
Experience in developing next-best-offer/next-best-action recommendation systems.
Hands-on experience in modelling and the application statistical/machine leaning techniques (E.g. GLMs, XGBOOST, k-means clustering, neural networks, random forests etc.).
Strong exposure to analytical scripting languages, in particular SQL, Python, and R.
Exceptional communication and stakeholder management skills.
Previous experience managing/mentoring junior technical staff.


   Desirable  


Post-graduate qualification/s (Masters or PhD).
Exposure to Big Data platforms (E.g. AWS) and applications (E.g. Hadoop, Hive, Spark).
Understanding of experimental design practices with respect to marketing analytics.

  This is a genuine opportunity to join a high growth business with no legacy tech, a commitment to developing a strong data science team, and giving them the environment, technology and capability to do the extraordinary.If
            your are looking for an exceptional career move in Customer focussed Data Science - lets talk - apply online.
 
Josh Geller02 8088 1809 Email: Please click the 'Apply Now' button below. ",Data Scientist | Customer Analytics | Fintech,,/Data/Scientist/|/Customer/Analytics/|/Fintech/Opportunity/Job/|/Blend/Business/Data/Scientist/|/Customer/Analytics/Design/Product/Tech/Data/Science/AI/Machine/Job/Development/Native/App/Push/NLP/Product/Marketing/Tech/Head/Analytics/Data/Science/Data/Scientist/Background/Skills/Sought/Essential/Tertiary/E.g./Mathematics/Statistics/Computer/Science/Actuarial/Studies/Economics/B2C/XGBOOST/SQL/Python/R./Desirable/Post/Masters/Big/Data/AWS/E.g./Hadoop/Hive/Spark/Customer/Data/Science/Josh/Geller02,165000.0,SCIENTIST    ANALYTICS     ,0,"['Data', 'Scientist', '|', 'Customer', 'Analytics', '|', 'Fintech']",Information Technolog,2.0,Sr Scientist,2.0
GP Synergy,Information & Communication Technology, Other,Full Time,"Newcastle, Maitland & Hunter",,"

Full-time position
Newcastle office location
Friendly and well supported working environment 
Salary packaging available
ASAP start

 
About us
GP Synergy is a leading provider of general practice training funded by the Australian Government to deliver vocational training to doctors seeking to specialise as general practitioners across NSW and ACT.
We are committed to building a skilled general practice workforce by delivering a high-quality education and training program that is responsive to regional population health needs.
Our organisation is underpinned by our values - respect, excellence and initiative.
 
The role
The Data Science and Analytics Specialist is a suitably qualified, senior level Data Scientist who has interest in the health sector and will deliver a broad range of services including all aspects of data retrieval, storage and reporting, and
            a range of informatics and analytics projects.
Working under a matrix structure, you will report to the Director of Research and Evaluations in support of GP Synergy’s Research and Evaluations Unit. You will support the team with timely and reliable access to GP Synergy’s data for research
            purposes, thereby managing all aspects of data retrieval, storage and reporting.
The secondary report is to the Chief Executive Officer to leverage GP Synergy’s informatics and analytics work including the use of PowerBI for data visualisations, and special projects in the area of machine learning.
The role also has a line of responsibility to the Chief Information Officer for the purposes of maintaining GP Synergy’s Information Systems Management and Security (ISMS) standards.
 
Selection criteria
To be considered for this opportunity, it is essential that applicants meet the following criteria:

Bachelor's degree in IT, or computer science or equivalent.
Graduate diploma or master’s degree in data science.
Requires relevant, current and demonstrated experience in reporting.
An interest in the health sector.
Demonstrated experience in a similar role.
Excellent interpersonal skills with a commitment to getting the job done upholding the highest standards.
Current unrestricted Drivers Licence and own transport.

Examples of demonstrated knowledge and experience will includes:

Microsoft SQL Report Writer, with the ability to perform complex cross table queries, develop graphs and analytical interfaces and data extracts for reporting purposes.
Advanced Microsoft Excel skill level.
Data modelling and management, ensuring the research database is optimally structured, that data is validated, and effectively processed.
PowerBI (web integrated) for the development and ongoing management of GP Synergy’s KPI dashboard and occasional analytics work.
A working knowledge of data visualisation principles and good practice.
Demonstrated competency with machine learning systems development.  Must possess hands on experience and working knowledge across all aspects of the development cycle. Experience with the following machine learning platforms would be
              highly regarded:
              
TensorFlow
Keras
Microsoft Cognitive Toolkit (otherwise known as CNTK) for integration with Azure
Basic programming in Python/R.



 
Further information
For further information and to obtain the Position Description, please visit our website http://www.gpsynergy.com.au About Us > Employment Opportunities or contact Alison Micovski, Human Resource Advisor on recruitment@gpsynergy.com.au.
 
How to apply
To be considered for this great opportunity, click “apply for this job” to submit your resume and cover letter.
All applications will be treated in the strictest of confidence. Only shortlisted candidates will be contacted.
We do not accept canvassing or applications from recruitment companies.
",Data Science and Analytics Specialist (Data Scientist),,/Newcastle/Salary/ASAP/GP/Synergy/Government/NSW/ACT/Data/Science/Analytics/Specialist/Data/Scientist/Director/Research/Evaluations/GP/Synergy/’s/Research/Evaluations/Unit/GP/Synergy/’s/Chief/Executive/Officer/GP/Synergy/’s/PowerBI/Chief/Information/Officer/GP/Synergy/’s/Information/Systems/Management/Security/ISMS/Bachelor/IT/’s/Requires/Drivers/Licence/Examples/Microsoft/SQL/Report/Writer/Advanced/Microsoft/Excel/PowerBI/GP/Synergy/’s/KPI/TensorFlow/Keras/Microsoft/Cognitive/Toolkit/CNTK/Azure/Python/R./Position/Description/http://www.gpsynergy.com.au/Employment/Opportunities/Alison/Micovski/Human/Resource/Advisor/recruitment@gpsynergy.com.au,, SPECIALIST   ANALYTICS     ,0,"['Data', 'Science', 'and', 'Analytics', 'Specialist', '(Data', 'Scientist)']",Information Technolog,,Sr Scientist,0.0
Foxtel Management Pty Limited,Information & Communication Technology, Other,Full Time,Melbourne,,"At Foxtel, we’re bringing television to Australians like never before. Our mission is to provide Australia’s best value streamed and live sport, movies, drama, news and entertainment experience.
We work as a team, we’re agile and we’re accountable. We put the customer first and we’re passionate about what we do. We have fun and we’re different, better, special.Our Data & Analytics Department is seeking a Senior Data Scientist to solve FoxCo commercial and customer problems by the application of data science.  
Your purpose

Lead components of the design, implementation and management of the Data Science capability across FoxCo
Articulate customer and commercial benefit through use of data and analytics capability
Significantly contribute to the development and implementation of the Data Science Roadmap
Provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors
Lead the delivery of Data Science projects
Assist with the development, management and application of the catalogue of Data Science services
Proactively create new and innovative Data Science services
Contribute to the ‘Program of Innovation’, providing business opportunities and further development to your team 
Deliver accurate and practical Data Science solutions, articulating the commercial impact and actionable recommendations
Lead a team and drive processes improvements

Your capability

Master’s degree in Data Science, Computer Science, Engineering, Economics, Statistics,  Mathematics or Actuarial Studies
4+ years’ experience in a senior role within a Data Science or Advanced Analytics team 
Proven track record delivering complex Data Science solutions with material commercial benefit
Highly proficient coding skills across at least 2 of either R/Python/SQL, with the ability to articulate and demonstrate good coding practices  
Expert in data preparation and manipulation
Highly proficient across many standard and cutting-edge Statistical/Predictive/Machine Learning/Supervised and Unsupervised techniques
An Advanced user of data visualisation techniques to tell the story of data. Tools including (but not limited to) Plotly, ggplot2, matplotlib, MS Excel, MS PowerPoint, Tableau
A creative problem solver with an inquisitive nature  
Ability to communicate well and discuss complex topics with both technical and business audiences
Self-sufficient in managing projects end-to-end with moderate support

What’s in it for you?We have a benefits program with something for everyone.  But we’re in the entertainment business and we connect Australians to all the stories they love, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!Above all, we love entertainment and, if you do too, you’ll love working with us.  So if you’re excited about this opportunity, please click ‘Apply now’.",Senior Data Scientist,,/Foxtel/Australians/Australia/’s/Data/Analytics/Department/Senior/Data/Scientist/FoxCo/Lead/Data/Science/FoxCo/Data/Science/Roadmap/Data/Science/Data/Science/Data/Science/‘/Program/Innovation/’/Data/Science/Master/’s/Data/Science/Computer/Science/Engineering/Economics/Statistics/Mathematics/Actuarial/Studies/Data/Science/Advanced/Analytics/Proven/Data/Science/Python/SQL/Expert/Statistical/Predictive/Machine/Learning/Supervised/Unsupervised/MS/Excel/MS/PowerPoint/Tableau/Ability/’s/Australians/Foxtel/Foxtel/broadband!Above,,SCIENTIST SENIOR        ,0,"['Senior', 'Data', 'Scientist']",Information Technolog,,Sr Scientist,2.0
Progressive,Information & Communication Technology, Engineering - Hardware,Contract/Temp,Adelaide,competitive,"
Azure Architect / Big Data Scientist
The Role
My client is looking for a Azure Architect / Big Data Scientist to join their Adelaide team on this 3 month initial contract
What you can bring

In depth experience with Microsoft Azure PaaS
Strong in IOT and Analytics
Extensive Big Data and complex integration experience
Excellent communication skills
Highly analytical and forward thinking

Apply Now
For immediate consideration, please apply now with an updated CV or contact George Hirst 02 9285 1074.
To find out more about Progressive Recruitment please visit our website. 
 
Award Winner for:
Best Medium Recruitment Company of the Year by Recruitment International 2018
Training & Development Initiative of the Year by Recruitment International 2018
",Azure Architect / Big Data Scientist,,/Azure/Architect/Big/Data/Scientist/Role/Azure/Architect/Big/Data/Scientist/Adelaide/Microsoft/Azure/PaaS/IOT/Analytics/Extensive/Big/Data/George/Hirst/Progressive/Recruitment/Award/Winner/Best/Medium/Recruitment/Company/Year/Recruitment/International/Training/Development/Initiative/Year/Recruitment/International,,SCIENTIST     BIGAZURE    ,0,"['Azure', 'Architect', '/', 'Big', 'Data', 'Scientist']",Information Technolog,,Sr Scientist,3.0
Foxtel Management Pty Limited,Information & Communication Technology, Other,Full Time,Sydney,,"At Foxtel, we’re bringing television to Australians like never before. Our mission is to provide Australia’s best value streamed and live sport, movies, drama, news and entertainment experience.
We work as a team, we’re agile and we’re accountable. We put the customer first and we’re passionate about what we do. We have fun and we’re different, better, special.
Our Data & Analytics Department is seeking a Data Scientist to assist with solving FoxCo commercial and customer problems by the application of data science.  
Your purpose

Deliver components of the design, implementation and management of the Data Science capability across FoxCo
Articulate customer and commercial benefit through use of data and analytics capability
Contribute to the development and implementation of the Data Science Roadmap
Identify gaps and innovative solutions, bridging any capability gaps
Provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors
Contribute to the development, management and application of the catalogue of Data Science services
Proactively create new and innovative Data Science requirements
Deliver accurate and practical Data Science solutions, articulating the commercial impact and actionable recommendations
Apply processes and drive continuous improvements

Your capability

Undergraduate degree in Data Science, Computer Science, Engineering, Economics, Statistics,  Mathematics or Actuarial Studies
2+ years’ experience working as a Data Scientist   
Proven track record delivering Data Science solutions
Quality coding skills across at least 2 of either R/Python/SQL, with the ability to demonstrate good coding practices 
Expert in data preparation and manipulation
Working knowledge of many standard and cutting-edge Statistical/Predictive/Machine Learning/Supervised and Unsupervised techniques
Advanced in the application of basic and superior analytics
A strong user of data visualisation techniques to tell the story of data. Tools including (but not limited to) Plotly, ggplot2, matplotlib, MS Excel, MS PowerPoint, Tableau
A creative problem solver with an inquisitive nature  
Ability to communicate well and discuss complex topics with both technical and business audiences

What’s in it for you?We have a benefits program with something for everyone.  But we’re in the entertainment business and we connect Australians to all the stories they love, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!Above all, we love entertainment and, if you do too, you’ll love working with us.  So if you’re excited about this opportunity, please click ‘Apply now’.
 
 ",Data Scientist,,/Foxtel/Australians/Australia/’s/Data/Analytics/Department/Data/Scientist/FoxCo/Deliver/Data/Science/FoxCo/Data/Science/Roadmap/Data/Science/Data/Science/Data/Science/Undergraduate/Data/Science/Computer/Science/Engineering/Economics/Statistics/Mathematics/Actuarial/Studies/Data/Scientist/Proven/Data/Science/Quality/Python/SQL/Expert/Working/Statistical/Predictive/Machine/Learning/Supervised/Unsupervised/MS/Excel/MS/PowerPoint/Tableau/Ability/’s/Australians/Foxtel/Foxtel/broadband!Above,,SCIENTIST         ,0,"['Data', 'Scientist']",Information Technolog,,Sr Scientist,2.0
FourQuarters Recruitment,Information & Communication Technology, Consultants,Full Time,Melbourne,Competitive,"Data Scientist | Melbourne CBD | Permanent

Exciting opportunity with a leading AXS listed fintech organisation 
Chance to drive the company's Data Science capabilities
Competitive package
 About the CompanyThe client is a leading Australian fintech based in Melbourne's CBD. They are looking to become more data-driven as a business. The organisation has a flat, agile organisation with a great working culture.
        The business is constantly innovating their products and they want to continue to deliver high quality outcomes for their customers.About the RoleThe Data Scientist will be trusted to set up and drive the organisation's
        Data Science function and capability. The Data Scientist is also responsible for deriving business insights from data and driving the business' capabilities. The role will involve interacting and working with stakeholders across the business and
        identifying business problems and strategic goals. Required Experience and Knowledge:

Strong commercial experience with Python or R
An ability to liaise and consult with various senior stakeholders
Experience working with SQL
Experience setting up and driving a Data Science function is a bonus
 How to ApplyClick APPLY or contact Zale Stobbs, Big Data, BI & Data Analytics Consultant on (03) 9982 8489 for a confidential discussion. ",Data Scientist,,/Scientist/|/Melbourne/CBD/AXS/Chance/Data/Science/CompanyThe/Melbourne/CBD/RoleThe/Data/Scientist/Data/Science/Data/Scientist/Required/Experience/Knowledge/Python/SQL/Experience/Data/Science/ApplyClick/APPLY/Zale/Stobbs/Big/Data/BI/Data/Analytics,,SCIENTIST         ,0,"['Data', 'Scientist']",Information Technolog,,Sr Scientist,2.0
TRS - IT & Communications,Information & Communication Technology, Consultants,Contract/Temp,ACT,$1400/day + GST," Massive Data Governance Drive to instil a Master/Reference Data Management approach to a desperate and distributed data landscape.We are seeking a Data Scientist to establish and manages analytical methods and techniques, such as predictive
        analytics, enterprise decision support.You will have;

Tertiary qualifications in computational science, mathematics, statistics or related field (PH.D qualification would be highly regarded)
Solid Functional Programming & Machine learning techniques, including clustering, outlier detection, association rules, time series analysis, text mining, natural language processing.
Knowledge of and experience in big data platforms and technique
Coding skills in SAS, R, Java, C/C++, Python, MATLAB etc
Outstanding communication skills.
Australian Citizenship and have the ability to re-activate (or get) NV1, NV2 or PV.If you have the above skills, want to work on one of the largest and most progressive mdm solution in Australia please apply today.
 This role is based in Canberra, paying $1400/day + GST. ",Data Scientist - $1400/day + GST,,/Massive/Data/Governance/Drive/Master/Reference/Data/Management/Data/Scientist/Tertiary/Solid/Functional/Programming/Machine/Knowledge/Coding/SAS/R/Java/C/C++/Python/MATLAB/Australian/Citizenship/NV1/NV2/PV.If/Australia/Canberra/GST,,SCIENTIST         ,0,"['Data', 'Scientist', '$1400/day', '+', 'GST']",Information Technolog,,Sr Scientist,2.5
Optus,Consulting & Strategy, Analysts,Full Time,Sydney,,"
Data Centre of Excellence  Come and be a part of our exciting growth journey as we take the analytics frontier to the next level! The Data Centre of Excellence (DCoE) at Optus exists to help realise the vision
          of becoming a customer-centric organisation, driven by a data and analytics capability that enhances customer interactions and revenue generation. Playing a key role to guide & influence other business professionals, data scientists
          & analytics enthusiasts from around the organisation, you will help shape our analytics and data asset roadmap by building leading edge solutions that drive customer centric thinking. The Role The role of
          Senior Data Scientist is responsible for leading the development of advanced machine learning & AI analytics capability (which includes but not limited to propensity modelling, AI, machine learning, mathematical optimisation)
          to support the Optus Data Strategy. Key responsibilities include: 

Working with the AD, Data Science to identify additional data sources, feature engineering, data discovery and developing new algorithms from big data assets
Mentoring other Analysts and Data Scientists, in querying customer data, performing analyses, and presenting findings in a clear and understandable language
Identify additional data sources, complete feature engineering, data discovery and developing new algorithms from big data assets, building machine learning models
Provide governance around the build of machine learning models and deployment into the production environment
Manage the establishment of an advanced analytical and modelling infrastructure, the upkeep of the modelling engine and sharing modelling and analytical expertise with the wider Data Science & Analytics team
Maintaining a working knowledge of best practice analytics and modelling techniques and identifying ways to implement them into the Optus environment.

 
The perks We offer all kinds of benefits, such as: 

Work collaboratively in an open, agile environment with flexible working hours and location
Discounts with over 400 companies Australia wide (Technology, Retail, Home, Fashion and more!)
Mobile and Broadband staff discounts
Onsite facilities at Macquarie Park such as a Gym, GP, Mini-Mart, Cafes
Training, Mentoring and further learning opportunities
Staff busses to Epping and Wynyard, and back again

What you need to be successful? You will have the opportunity to apply your technical, problem solving and customer engagement skills to help solve problems across Marketing, Service, Networks, Retail, TV & Content,
          Human Resources, Digital and Big Data domains. 

BA/BSc or higher degree in Computer Science, Analytics, or equivalent applied quantitative field;
Understanding the use of data science to support marketing and customer initiatives
Demonstrated ability to work with stakeholders to understand their business and ability to direct & advise on the best AI solution to meet their needs
Proven experience managing projects end to end both individually and within a team
Ability to think of different use-cases that can be solved by data analytics (Consulting)
Demonstrated ability to execute data processing tasks, including data auditing, preparation, integration, transformation and aggregation using SQL, R, Python or Scala
Exposure to engineering real time decision platforms and systems
Exposure to mentoring data scientists and managing technical data analysis work
Demonstrated ability to understand the difficulties and challenges of dealing with Big data OR demonstrated ability to work with variety of data types
Ability to evaluate different analytical approaches that can be applied to solve a problem, select the most suitable one and justify the selection

 
About us At Optus, we don’t sit back and let the future happen to us - we’re out there making it. This is a truly amazing opportunity to complement an exceptionally talented team of data science practitioners with
          an opportunity to work in agile teams and squads! Heads Up! Due to the fast-paced nature of our business, vacancy close dates may change, so make sure you apply today! Optus believes in the strength of a
          vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers.
",Senior Data Scientist - Data Centre of Excellence,,/Data/Centre/Excellence/Data/Centre/Excellence/DCoE/Optus/Role/Senior/Data/Scientist/AI/AI/Optus/Data/Strategy/Working/Data/Science/Analysts/Data/Scientists/Data/Science/Analytics/Optus/Australia/Technology/Retail/Home/Fashion/Mobile/Broadband/Macquarie/Park/Gym/GP/Mini/Mart/Cafes/Training/Mentoring/Staff/Epping/Wynyard/Marketing/Service/Networks/Retail/TV/Content/Human/Resources/Digital/Big/Data/Computer/Science/Analytics/AI/Ability/Consulting/SQL/R/Python/Scala/Ability/Optus/Optus,,SCIENTIST SENIOR        ,0,"['Senior', 'Data', 'Scientist', 'Data', 'Centre', 'of', 'Excellence']",Consulting & Strategy & Eng,,Sr Scientist,2.0
